Earliest Specimen Date,Nation,Pillar,Daily number of positive cases (new methodology),Cumulative number of positive cases (new methodology)
30/01/2020,England,Pillar 1,2,2
30/01/2020,Northern Ireland,Pillar 1,0,0
30/01/2020,Scotland,Pillar 1,0,0
30/01/2020,Wales,Pillar 1,Not available,Not available
30/01/2020,England,Pillar 2,0,0
30/01/2020,Northern Ireland,Pillar 2,0,0
30/01/2020,Scotland,Pillar 2,0,0
30/01/2020,Wales,Pillar 2,Not available,Not available
31/01/2020,England,Pillar 1,0,2
31/01/2020,Northern Ireland,Pillar 1,0,0
31/01/2020,Scotland,Pillar 1,0,0
31/01/2020,Wales,Pillar 1,Not available,Not available
31/01/2020,England,Pillar 2,0,0
31/01/2020,Northern Ireland,Pillar 2,0,0
31/01/2020,Scotland,Pillar 2,0,0
31/01/2020,Wales,Pillar 2,Not available,Not available
01/02/2020,England,Pillar 1,0,2
01/02/2020,Northern Ireland,Pillar 1,0,0
01/02/2020,Scotland,Pillar 1,0,0
01/02/2020,Wales,Pillar 1,Not available,Not available
01/02/2020,England,Pillar 2,0,0
01/02/2020,Northern Ireland,Pillar 2,0,0
01/02/2020,Scotland,Pillar 2,0,0
01/02/2020,Wales,Pillar 2,Not available,Not available
02/02/2020,England,Pillar 1,0,2
02/02/2020,Northern Ireland,Pillar 1,0,0
02/02/2020,Scotland,Pillar 1,0,0
02/02/2020,Wales,Pillar 1,Not available,Not available
02/02/2020,England,Pillar 2,0,0
02/02/2020,Northern Ireland,Pillar 2,0,0
02/02/2020,Scotland,Pillar 2,0,0
02/02/2020,Wales,Pillar 2,Not available,Not available
03/02/2020,England,Pillar 1,0,2
03/02/2020,Northern Ireland,Pillar 1,0,0
03/02/2020,Scotland,Pillar 1,0,0
03/02/2020,Wales,Pillar 1,Not available,Not available
03/02/2020,England,Pillar 2,0,0
03/02/2020,Northern Ireland,Pillar 2,0,0
03/02/2020,Scotland,Pillar 2,0,0
03/02/2020,Wales,Pillar 2,Not available,Not available
04/02/2020,England,Pillar 1,0,2
04/02/2020,Northern Ireland,Pillar 1,0,0
04/02/2020,Scotland,Pillar 1,0,0
04/02/2020,Wales,Pillar 1,Not available,Not available
04/02/2020,England,Pillar 2,0,0
04/02/2020,Northern Ireland,Pillar 2,0,0
04/02/2020,Scotland,Pillar 2,0,0
04/02/2020,Wales,Pillar 2,Not available,Not available
05/02/2020,England,Pillar 1,1,3
05/02/2020,Northern Ireland,Pillar 1,0,0
05/02/2020,Scotland,Pillar 1,0,0
05/02/2020,Wales,Pillar 1,Not available,Not available
05/02/2020,England,Pillar 2,0,0
05/02/2020,Northern Ireland,Pillar 2,0,0
05/02/2020,Scotland,Pillar 2,0,0
05/02/2020,Wales,Pillar 2,Not available,Not available
06/02/2020,England,Pillar 1,0,3
06/02/2020,Northern Ireland,Pillar 1,0,0
06/02/2020,Scotland,Pillar 1,0,0
